month,year,day,date_description,name,city,country,kind,latitude,longitude,event_date
11,2015,19,November 2015,Antarctic Ice Marathon & 100k,Union Glacier Camp,Antarctica,M/U,-78.525483, -85.617147
11,2015,20,November 2015,15th Pharaonic 100km,Faiyum,Egypt,U,29.308402,30.842849
11,2015,21,November 2015,Medio Maraton Turistico Riviera Nayarit,Riviera Nayarit,Mexico,H/R,20.752178,-105.327277
11,2015,22,November 2015,Penang Bridge International Marathon,Perai,Malaysia,M,5.377294,100.400145
11,2015,22,November 2015,Great Ethiopian Run 10km,Addis Ababa,Ethiopia,R,8.980603,38.757760
11,2015,22,November 2015,21k Nuevo Leon,Nuevo Leon,Mexico,H,25.592172,-99.996194
11,2015,22,November 2015,Gore-Tex Philadelphia Marathon,Philadelphia,USA,M/H,39.952583,-75.165221
11,2015,25,November 2015,Chosunilbo Chuncheon Marathon,Chuncheon,South Korea,M,37.881315,127.729970
11,2015,27,November 2015,Eilat Full Desert Marathon,Eilat,Israel,H/R,29.557669,34.951925
11,2015,28,November 2015,Bagan Temple Marathon,Bagan,Myanmar,M/H/R,21.171727,94.858545
11,2015,28,November 2015,100km of the Namib Desert,Windhoek,Namibia,U,-22.560880,17.065754
11,2015,29,November 2015,Mount Fuji Marathon,Honshu Island,Japan,M,35.360555,138.727777
11,2015,29,November 2015,Maraton Donostia â San Sebastian,San Sebastian,Spain,M,43.318334,-1.981231
11,2015,29,November 2015,Airtel Delhi Half Marathon,Delhi,India,H,28.613939,77.209021
11,2015,29,November 2015,Serge Vigot La Rochelle International Marathon,La Rochelle,France,M,46.160329,-1.151139
11,2015,29,November 2015,Firenze Marathon,Florence,Italy,M,43.769560,11.255813
11,2015,29,November 2015,Gran Maraton Pacifico,Mazatlan,Mexico,M/H,23.249414,-106.411142
11,2015,29,November 2015,KLM Curacao Marathon,Willemstad,Curacao,M/H/R,12.122422,-68.882423
11,2015,29,November 2015,Marathon du Gabon,Libreville,Gabon,M,0.416197,9.467267
11,2015,29,November 2015,XXXIX Panama International Marathon 2015,Panama City,Panama,M,9.101178,-79.402863
11,2015,29,November 2015,UNICEF Charity Run Half Marathon,Hong Kong,Hong Kong,H/R,22.396428,114.109497
11,2015,1,November 2015,JoongAng Seoul Marathon,Seoul,South Korea,M,37.566535,126.977969
12,2015,4,December 2015,Ayla Red Sea Half Marathon,Aqbar,Jordan,M/H/R,32.940786,35.495515
12,2015,5,December 2015,Reggae Marathon & Half Marathon & 10K,Negril,Jamaica,M/H/R,18.268305,-78.347242
12,2015,5,December 2015,Bengaluru Midnight Marathon,Bangalore,India,M/H/R,12.971598,77.594562
12,2015,6,December 2015,Intertrust Cayman Islands Marathon,Seven Mile Beach,Cayman Islands,M,19.333867,-81.381699
